"PLANET_NUMBER";"p_name";"Star_key";"MASS";"density (earth)";"relative radius";"Terrain Type";"Type_climate"
462;"Nyamien Wu";1360;1.37;1.162;1.06;"river, cliff, ice canyon, cave, acid pool, sea, jungle, rocky canyon";"superheated, artificial temperate, artic, arid, frigid, rocky"
463;"Stellarnox Duodecimal";4014;6.12;1.351;1.65;"ice cave, jungle";"rocky, superheated, tropical, artic, subartic, hot"
464;"Nocturnal Silence Hestian";3565;2.01;1.227;1.18;"savanna, vine, bog, plain";"artificial temperate, temperate, rocky"
465;"Nocturnal Silence Aphroditos";3565;1.36;0.869;1.16;"island";"subartic, hot, rocky"
466;"Nocturnal Silence Pantheon";3565;2.88;0.654;1.64;"scrubland, reef, barren, lava river, cave";"windy, artificial temperate, subartic, arid, frozen"
467;"Salm Secant";9012;4.69;0.561;2.03;"plain, rocky island";"tropical, artificial temperate, superheated, artic, rocky, arid"
468;"Tureis Decimal";2788;2.3;1.231;1.23;"island";"artificial temperate, temperate, subartic, humid"
469;"Piautos Irisian";7248;6.07;0.594;2.17;"rocky desert, verdant, tundra, ocean, plateau";"rocky, temperate, artic, subartic"
470;"Cerulean Cryptic Aetherios";2217;0.74;0.772;0.99;"cave, lava river, plateau";"humid, hot, frigid, subartic, artificial temperate"
471;"Shaula Nonal";7922;6.56;0.855;1.97;"forest, cave, cliff";"artificial temperate, hot"
472;"Shaula Septimal";7922;4.49;1.147;1.58;"city, verdant, jungle, rocky island";"frigid, hot, artic, artificial temperate, subartic"
473;"Alchiba XXI";9326;7.55;0.984;1.97;"hill, reef";"hot"
474;"Alchiba IV";9326;3.46;0.88;1.58;"island, toxic cloudsea, rainforest, canyons, ash, bog, rocky desert, valley";"humid, superheated, hot, arid, frozen"
475;"Alchiba XVIII";9326;1.26;1.063;1.06;"desert, plain";"windy, rocky"
476;"Alchiba IX";9326;4.05;0.995;1.6;"cityscape";"arid"
477;"Frostfang Prime";1304;2.63;1.033;1.37;"rock arche, river, bog, forest";"tropical, arid, windy, frigid, rocky"
478;"Frostfang Undecimal";1304;3.43;1.386;1.35;"rainforest, city, sinkholes, ice canyon";"windy, hot, humid, artificial temperate, superheated, frigid, subartic"
479;"Frostfang Quintal";1304;4;0.758;1.74;"scrubland, urban, hill, valley";"artificial temperate, artic, arid"
480;"Lunacara Nonal";4523;2.61;1.322;1.25;"cave, savanna, acid pool, tundra";"hot, temperate, frigid, arid, windy, subartic"
481;"Lunacara Sextant";4523;1.62;0.615;1.38;"volcano, savanna, cave, jungle, mountain, ice cave";"temperate, hot, artificial temperate, artic, subartic, rocky, superheated"
482;"Lunacara Quintal";4523;2.11;1.113;1.24;"ash, jungle, urban";"tropical, rocky, frigid, superheated"
483;"Starlight Shroud Si";5653;6.18;0.66;2.11;"ice canyon";"artificial temperate, rocky, hot, frozen"
484;"Starlight Shroud Shi";5653;6.14;1.421;1.63;"plain, field, glacier, lakes, tundra";"hot, tropical, frigid, windy"
485;"Starlight Shroud Liu";5653;4.05;0.958;1.62;"vine, barren, tundra";"frozen, arid"
486;"Kaze I";4146;4.48;1.117;1.59;"lava river, verdant, lakes";"humid, hot"
487;"Vortexian Quintal";8489;1.86;1.319;1.12;"savanna, vine";"rocky, hot, windy, artificial temperate, tropical"
488;"Vortexian Secant";8489;6.46;1.209;1.75;"plain, field, cityscape";"artificial temperate, artic"
489;"Vortexian Prime";8489;1.83;1.709;1.02;"ash, reef";"frigid, tropical, hot, artic, frozen"
490;"Vortexian Decimal";8489;0.54;0.995;unknown;"mountain, cliff, lava river, ash, urban";"artificial temperate, superheated, artic, frigid"
491;"Nushagak Nu";2973;6.39;0.858;1.95;"toxic cloudsea, acid pool, vine, ash";"rocky, windy, hot, artificial temperate, humid, tropical, frozen"
492;"Nushagak Pi";2973;2.08;1.096;unknown;"lakes, plateau, sea";"windy, frigid, artic"
493;"Blizzardrider Wu";5086;4.23;0.869;1.69;"urban, island, cave, rocky island";"frigid, humid, windy, frozen"
494;"Blizzardrider San";5086;3.54;0.977;1.54;"volcano, rocky island, reef, glacier, canyons, rock arche";"frozen, superheated, hot, frigid, artificial temperate"
495;"Blizzardrider Si";5086;3.92;1.08;1.54;"vine";"tropical, humid"
496;"Blizzardrider Shi";5086;2.16;1.569;1.11;"glacier, river, valley, cave, rocky desert";"hot, frozen, windy, temperate"
497;"Orion's Haven Tertial";5919;1.22;1.099;1.04;"field, lakes, grassy hill, river, cliff, plain, toxic cloudsea, tundra";"tropical, subartic, artificial temperate, rocky, artic"
498;"Orion's Haven Undecimal";5919;0.9;0.868;1.01;"urban, river, cave, ash, lakes, barren, glacier";"hot, artificial temperate, artic, temperate, superheated, arid"
499;"Torcular Wu";4636;6.26;1.008;1.84;"forest, hill";"windy, hot, artificial temperate, tropical, artic"
500;"Torcular Qi";4636;0.43;1.139;0.72;"lava river";"artic, arid, tropical, frozen"
501;"Talitha Decimal";5484;4.09;0.849;1.69;"tundra";"windy, tropical, artic, humid"
502;"Buna Aetherios";9835;9.71;1.216;2;"ice cave, plateau, island, city, hill, ocean";"artic, frozen, frigid, subartic"
503;"Kaminari Enigma Qi";3435;5.56;1.407;1.58;"rocky desert, sinkholes";"frigid, superheated, humid, rocky, temperate"
504;"Kaminari Enigma Ba";3435;2.91;0.92;1.47;"canyons, field, island";"windy, rocky, humid, temperate"
505;"Heliosys Orphean";1884;4.79;1.153;1.61;"rocky canyon, glacier, forest, swamp, grassland, savanna, reef, grassy hill, cliff";"artic, frigid, windy, tropical, superheated, humid, frozen"
506;"Heliosys Nymphios";1884;5.93;0.649;2.09;"sinkholes";"humid, frozen, temperate, arid, superheated"
507;"Geisha's Whisper Hermesios";8843;0.89;1.162;0.91;"mountain";"rocky, artic, frigid, artificial temperate, arid"
508;"Skaldspark VII";6168;3.02;0.813;1.55;"grassy hill";"tropical, hot, frigid"
509;"Scarabian Cosmos Qi";3261;2.33;0.827;1.41;"river, sea, plateau, rocky island";"superheated, rocky, tropical, frigid"
510;"Scarabian Cosmos Yi";3261;1.1;1.057;1.01;"plateau, cliff";"temperate, rocky, windy, humid"
511;"Scarabian Cosmos San";3261;0.68;0.882;0.92;"tundra, river, forest";"rocky, tropical"
512;"Absolutno V";920;6.13;0.892;1.9;"lava river, ash, glacier, desert, cityscape, lakes, forest, grassy hill, rocky desert";"humid, temperate, hot, subartic, windy, artic, frigid"
513;"Dingolay Hestian";7730;8.37;0.983;2.04;"urban, rainforest, sea, forest";"rocky, hot, frigid, superheated"
514;"Secunda Hyadum Psychean";170;5.98;0.379;2.51;"sinkholes, reef, cityscape";"artic, tropical, artificial temperate, hot, superheated, frozen, rocky"
515;"Quantraflux Decimal";7919;6.72;1.104;1.83;"jungle, barren, jungle, hill";"arid, tropical, artificial temperate, subartic, humid"
516;"Quantraflux Undecimal";7919;1.5;0.785;1.24;"island, city, bog, savanna, reef";"tropical, subartic, artificial temperate, arid, superheated"
517;"Kawa Chimeraean";5415;6.75;1.016;1.88;"cliff";"windy, superheated, temperate, rocky"
518;"Okab Nonal";374;5.37;1.243;1.63;"acid pool, urban, grassy hill, canyons, verdant, vine";"temperate, superheated, humid, artificial temperate"
519;"Okab Prime";374;9.49;1.225;1.98;"volcano";"temperate, arid, tropical, windy"
520;"Okab Septimal";374;1.45;1.291;1.04;"reef, rocky desert, savanna, cliff, urban, vine";"temperate, frozen, subartic, windy, arid, frigid, artificial temperate"
521;"Okab Octal";374;2.41;0.756;1.47;"grassland";"humid, artic"
522;"Naledi Gaios";7765;3.19;1.175;1.4;"hill, cave";"superheated, temperate, subartic, tropical, artificial temperate"
523;"Mouhoun Tertial";615;3.72;0.901;1.6;"ice canyon, sea, rock arche, rainforest, reef, forest, island, swamp, city";"subartic, humid, rocky, artificial temperate, frozen, windy, tropical"
524;"Mouhoun Duodecimal";615;5.25;0.979;1.75;"rocky island, river, island, ash, sea";"superheated, humid, rocky, frigid, tropical"
525;"Kiri Horizon Er";2299;2.08;1.157;1.22;"urban, cave";"tropical"
526;"Alrakis Hermian";7581;1.58;0.72;1.3;"rocky canyon, glacier, plain, canyons";"artificial temperate, frozen, arid, subartic"
527;"Ravenfury XII";5342;5.72;1.046;1.76;"rocky island, forest, hill, city";"frigid, frozen, tropical, temperate"
528;"Nebula Whisper Nonal";1299;1.12;0.905;1.07;"tundra, vine, valley, field";"frozen, frigid, temperate, subartic"
529;"Thoth's Radiance Herculean";1967;0.63;1.056;0.84;"ash, acid pool, lakes, rocky canyon, fungus forest, ocean, glacier";"frigid, windy, temperate, artificial temperate, tropical, hot"
530;"Kalausi Nu";9577;8.06;1.042;1.98;"rainforest, plateau, barren, cliff";"arid, hot, frigid, windy, artificial temperate, humid, subartic"
531;"Kalausi Epsilon";9577;4.91;0.977;1.71;"sinkholes";"windy, superheated"
532;"Kalausi Theta";9577;1.67;1.425;1.05;"rock arche, plateau, river";"frigid, windy, arid, tropical, subartic, hot"
533;"Pharaoh's Reverie Irisian";5095;3.56;0.68;1.74;"barren, grassland, lakes, sinkholes";"arid, artificial temperate, temperate, hot, tropical"
534;"Pharaoh's Reverie Demetrian";5095;7.01;0.577;2.3;"forest, plain";"windy, frigid, arid, rocky"
535;"Thunderpeak Beta";1288;7.93;0.823;unknown;"jungle, jungle";"superheated, subartic, rocky, temperate, hot"
536;"Alsciaukat Nonal";1829;3.3;0.919;1.53;"lakes, cityscape, ice cave, rock arche, sinkholes, swamp";"hot, temperate, frozen, humid, arid"
537;"Alsciaukat Septimal";1829;2.84;0.932;1.45;"lakes, toxic cloudsea";"superheated, temperate, artic"
538;"Chechia Secant";1207;3.49;1.096;1.47;"rock arche, urban, rocky island, tundra, cityscape";"frozen, hot, frigid, humid, artificial temperate, arid, artic"
539;"Drakonir Jiu";3159;1.15;0.972;1.06;"lava river, reef";"artificial temperate, hot, tropical"
540;"Drakonir San";3159;7.44;0.916;2.01;"canyons, cliff, urban";"artic, temperate, rocky"
541;"Theemin Selenean";1859;6.84;1.465;1.67;"river, swamp";"hot, humid, subartic, superheated"
542;"Theemin Chimeraean";1859;1.34;1.319;1.01;"cityscape, forest";"frozen, subartic, temperate"
543;"Theemin Hadean";1859;3.08;0.861;1.53;"ice canyon, forest, cave, hill, savanna";"superheated, artic, tropical, hot"
544;"Theemin Cerberian";1859;6.8;1.096;1.84;"acid pool, canyons, grassland, rocky desert, sea";"windy, tropical, humid, artificial temperate, frozen"
545;"Alkaphrah Secant";5747;5.38;1.328;1.59;"ocean, rocky desert, scrubland, hill, ash, swamp";"superheated, temperate, tropical, frigid, hot, arid"
546;"Alkaphrah Quintal";5747;7.71;0.744;2.18;"hill";"frozen, artificial temperate, subartic"
547;"Alnair Persephonian";716;2.07;0.93;1.31;"hill, ice canyon, ice cave";"frigid, temperate, windy, frozen, artificial temperate"
548;"Alnair Orphean";716;3.88;0.91;1.62;"glacier, grassy hill, cliff, plateau, river";"windy, arid, artic, artificial temperate"
549;"Morava Ba";735;2.73;0.605;1.65;"scrubland, hill, jungle, glacier, swamp, volcano, sea, ice cave, cliff";"subartic, hot, humid, arid, temperate, tropical, artificial temperate"
550;"Morava Yi";735;4.87;1.183;1.6;"sea, cliff, river, jungle, grassland, swamp";"artificial temperate, humid, subartic, tropical"
551;"Celestros Omega";6378;3.85;0.965;1.59;"hill, forest, cityscape, bog, sea, river, rock arche";"artic, artificial temperate, temperate, frigid, frozen"
552;"Megrez Tertial";1086;1.25;1.418;0.96;"mountain";"tropical, artificial temperate"
553;"Megrez Quartal";1086;7.84;1.116;1.92;"valley, rock arche, verdant";"frozen, subartic"
554;"Megrez Septimal";1086;7.34;0.624;2.27;"lakes, fungus forest, mountain, field";"temperate, artificial temperate, hot, rocky"
555;"Tsukiyo Zeta";6067;6.19;1.207;1.72;"plain, toxic cloudsea";"windy, frozen, superheated, arid, temperate, artificial temperate"
556;"Ashlesha Quartal";2251;0.46;1.123;0.74;"city, glacier, scrubland, field, swamp, cliff, ice canyon, cityscape";"frigid, subartic, tropical, arid, superheated"
557;"Ashlesha Prime";2251;1.26;0.766;1.18;"sinkholes";"arid, hot"
558;"Ashlesha Quintal";2251;1.6;1.185;1.11;"rainforest, valley";"hot, superheated"
559;"Ashlesha Duodecimal";2251;2.45;1.057;1.32;"forest, grassy hill, rock arche";"temperate, frozen"
560;"Lunacraze Decimal";2732;1.23;0.902;1.11;"lava river";"hot, frozen"
561;"Lunacraze Nonal";2732;2.24;0.6;1.55;"sea, vine, jungle, island, savanna";"tropical, subartic, frigid, rocky"
562;"Dracozen Psychean";7390;2.75;1.047;1.38;"plain, field, ice cave, rainforest";"frigid, subartic, rocky, humid"
563;"Heliconian Whispers VIII";2582;8.32;1.388;1.82;"ice cave, valley";"hot, tropical, subartic"
564;"Arcalís Nymphios";6650;1.81;1.253;1.13;"jungle, grassy hill, lakes, canyons";"humid, hot, artic, frozen"
565;"Heliosara Nemesisian";6246;1.49;0.951;1.16;"ash, rainforest, volcano, reef, river";"subartic, artic, arid, temperate, superheated, hot, rocky"
566;"Quasarionara Er";7754;1.46;0.772;1.24;"rocky canyon, ice canyon, ice cave, verdant, hill, rainforest";"tropical, humid, frigid, frozen"
567;"Ancha Psi";5926;1.91;1.195;1.17;"savanna, desert, lakes, barren";"temperate, subartic, arid"
568;"Aurora Phantasm IV";1612;9.63;0.907;2.2;"acid pool, fungus forest";"humid, arid, hot, frigid, artic, frozen, temperate"
569;"Solaris Theta";9952;3.67;0.466;1.99;"rocky canyon, grassland, valley";"artic, temperate, humid"
570;"Solaris Sigma";9952;7.03;0.994;1.92;"vine, city";"artificial temperate"
571;"Nefertiti's Nebula Si";6566;0.92;0.696;1.1;"sea, hill, rocky canyon";"humid, rocky, artificial temperate, arid"
572;"Nefertiti's Nebula Ba";6566;4.99;0.736;1.89;"cliff, swamp, grassy hill, ice cave";"frozen, humid, artic, temperate, artificial temperate"
573;"Galaxara Quartal";7033;3.1;1.246;1.36;"rock arche, scrubland";"windy, humid, arid, hot"
574;"Galaxara Septimal";7033;2.07;0.746;1.4;"volcano, swamp";"hot, superheated, tropical, arid, humid, frigid"
575;"Galaxara Nonal";7033;0.56;1.215;0.77;"city, plain, field, jungle, island";"artificial temperate, temperate, frigid, windy, rocky, hot"
576;"Galaxara Undecimal";7033;7.4;0.914;2.01;"lakes, rock arche";"frozen"
577;"Rasalgethi Xi";2849;5.82;1.26;1.67;"plateau, ocean, vine, scrubland, jungle";"arid, tropical, frozen, superheated"
578;"Enigmatic Abyss XV";6121;7.06;1.098;1.86;"ice canyon, grassland";"hot, frigid, humid, subartic, tropical"
579;"Solaraether Zephyrian";4992;1.56;1.388;1.04;"forest, vine, rock arche, urban, ocean";"artic, artificial temperate, temperate"
580;"Pulsara Jiu";7428;1.47;1.15;1.09;"fungus forest";"frigid, hot, artificial temperate, humid, frozen"
581;"Pulsara Si";7428;2.21;0.557;1.58;"hill, glacier";"rocky, artic, arid"
582;"Pyramid Radiance Duodecimal";2252;6.64;1.093;1.82;"city, volcano, grassland";"humid, frozen, arid, rocky"
583;"Akatsuki Celestial Gamma";1301;7.86;0.886;2.07;"acid pool, rocky canyon, cliff, tundra, savanna, swamp, hill, plateau";"superheated, rocky, temperate, humid, arid"
584;"Merga Beta";7497;9.91;0.739;2.38;"ash, cliff, mountain";"artic, subartic, superheated"
585;"Adhafera XIII";1808;1.23;0.812;1.15;"vine, bog, jungle";"arid, tropical"
586;"Adhafera XXI";1808;1.04;1.099;0.98;"cave, rocky island, desert";"rocky, temperate, frigid, artificial temperate"
587;"Marsic Vigesimal";4478;5.63;1.726;1.48;"ocean, lava river";"arid, artic, frigid, temperate, windy, rocky"
588;"Ruchbah Nymphios";5118;1.44;1.186;1.07;"valley, cave, lakes, verdant";"rocky, hot, arid"
589;"Denebola IX";9881;4.54;1.208;1.55;"ice cave, ash, plateau";"frigid, humid, hot, superheated"
590;"Denebola XII";9881;2.18;1.05;1.28;"city, lakes";"artificial temperate, frigid"
591;"Funi Nonal";4970;0.7;0.878;0.93;"ice cave, lakes, ice canyon, mountain, sea";"artic, subartic, frozen, frigid"
592;"Hotaru Ascendance Wu";5361;6.74;0.889;1.96;"jungle, city";"windy, tropical, hot"
593;"Hotaru Ascendance San";5361;2.71;1.163;1.33;"bog, plain, river, lava river";"arid, humid, artic"
594;"Hotaru Ascendance Si";5361;0.51;0.728;0.89;"vine, city";"frigid, arid, rocky"
595;"Hotaru Ascendance Liu";5361;1.54;0.976;1.16;"sinkholes, fungus forest, grassland, rocky island, plain, rainforest, acid pool";"artificial temperate, superheated, tropical, temperate, rocky, hot"
596;"Sham Alpha";8423;1.57;1.132;1.12;"glacier, river, urban, reef, mountain";"superheated, humid, artic, rocky, windy"
597;"Sham Iota";8423;7.01;1.13;1.84;"ice canyon, verdant, forest, ocean, lakes";"subartic, artic, artificial temperate, windy"
598;"Sham Eta";8423;5.95;0.618;2.13;"rock arche, forest, fungus forest, cave";"tropical, hot, temperate"
599;"Bonsai Gaze Beta";883;4.46;1.086;1.6;"cave, ocean, hill, city, grassy hill";"frigid, artificial temperate, tropical"
600;"Phantasma XXIII";8936;6.71;0.755;2.07;"lakes, rocky island, valley, ocean, river";"temperate, arid, windy, frozen, humid"
601;"Phantasma XII";8936;2.8;1.399;1.26;"plain";"frozen, windy, hot"
602;"Rapeto Tertial";882;3.02;0.878;1.51;"hill";"frozen"
603;"Rapeto Septimal";882;unknown;0.686;1.52;"acid pool, cliff, fungus forest, forest, lava river, verdant";"humid, arid, temperate, rocky"
604;"Stellae Abyss Eta";4079;2.9;0.844;1.51;"verdant, fungus forest, reef, bog, ocean";"humid, artificial temperate, rocky, windy"
605;"Matar XXI";3177;2.06;0.903;1.32;"cityscape, sea, plateau";"tropical, rocky, artificial temperate"
606;"Matar XVII";3177;2.36;1.169;1.26;"island, rocky island, verdant, lakes, acid pool, ice cave";"humid, rocky, artificial temperate, subartic"
607;"Matar XVIII";3177;5.82;1.313;1.64;"volcano, verdant, valley, sinkholes";"arid, artificial temperate, humid, superheated"
608;"Matar XXII";3177;unknown;0.972;1.23;"fungus forest, vine, field";"hot, windy, temperate"
609;"Astral Serenity XX";6797;2.51;1.151;1.3;"ocean, acid pool, plateau, field";"frozen, hot, artic, humid"
610;"Astral Serenity I";6797;1.14;1.057;1.03;"hill, rocky canyon, cityscape, ice canyon";"subartic, artic, temperate, tropical"
611;"Astral Serenity XVIII";6797;4.87;1.695;1.42;"valley, jungle";"humid, frozen, arid, artic"
612;"Astral Serenity XXII";6797;4.75;0.644;1.95;"island, cave, tundra, barren, vine";"frozen, arid, hot, artic, artificial temperate"
613;"Aniara Chi";531;7.78;0.611;2.34;"rock arche";"hot, windy"
614;"Aniara Mu";531;1.54;0.963;1.17;"scrubland, ice canyon";"tropical, windy, frozen, temperate, artificial temperate, arid"
615;"Aniara Nu";531;5.59;0.993;1.78;"plateau, ocean";"humid, superheated"
616;"Meissa Hermian";8371;9.56;1.294;1.95;"rocky canyon, cityscape, rock arche";"frozen, subartic, frigid, temperate, arid, windy"
617;"Meissa Typhonian";8371;0.43;1.111;0.73;"toxic cloudsea, hill, ice cave";"frozen, artificial temperate"
618;"Meissa Oranos";8371;4.73;1.114;1.62;"rocky island, volcano";"artificial temperate, hot, superheated, temperate, rocky, frigid"
619;"Albireo Chi";8797;1.15;0.921;1.08;"rock arche";"arid, frozen, humid, superheated, windy"
620;"Albireo Pi";8797;1.66;1.344;1.07;"ice canyon";"artic, tropical, artificial temperate, windy"
621;"Albireo Eta";8797;0.97;0.765;1.08;"barren, desert";"artificial temperate, arid"
622;"Astroflux Nemesisian";1580;2.75;1.017;1.39;"valley";"rocky"
623;"Astroflux Faunios";1580;1.93;0.675;1.42;"forest, mountain, field, fungus forest, plateau, cave, swamp, plain";"frozen, artificial temperate, rocky, artic, tropical"
624;"Astroflux Hadean";1580;3.99;0.681;1.8;"grassy hill, ice canyon";"artificial temperate, frozen, hot, windy"
625;"Astroflux Astraeos";1580;5.47;1.094;1.71;"canyons, cave, plateau";"tropical, humid, rocky"
626;"Ravenshadow V";3139;9.57;1.057;2.08;"hill";"windy, artic, subartic, temperate"
627;"Ravenshadow X";3139;5.1;1.12;1.66;"urban, toxic cloudsea, grassy hill, jungle, ash, valley, cave, acid pool, forest";"windy, artic, humid, subartic, temperate, hot, frigid"
628;"Umi Celestial XIX";2312;6.96;1.247;1.77;"";"windy"
629;"Aspidiske Aphroditos";9625;1.09;0.856;1.08;"mountain";"artic, frozen, windy, superheated"
630;"Cosmic Whispers Hermian";5433;5.17;1.18;1.64;"cliff, toxic cloudsea, grassy hill, rocky desert, hill, acid pool";"hot, tropical, frozen, arid, windy, temperate"
631;"Cosmic Whispers Hadean";5433;1.66;1.384;1.06;"cave, valley, field";"artificial temperate, arid"
632;"Cosmic Whispers Museios";5433;0.48;1.267;0.72;"lava river, plain, cityscape, field";"rocky, superheated, humid, hot, frozen, windy, subartic"
633;"Inari's Cascade Nymphios";3935;4.3;1.181;1.54;"cityscape, plain, rocky canyon, rocky island, reef";"hot, humid, superheated, tropical, temperate"
634;"Inari's Cascade Athenian";3935;2.67;0.828;1.48;"glacier, island";"artificial temperate, frigid, arid, hot, tropical, windy"
635;"Inari's Cascade Pantheon";3935;6.13;1.05;1.8;"lakes";"humid, rocky"
636;"Cosmosis Theta";442;2.01;0.706;1.42;"ocean, lava river, ash, canyons, forest, reef";"windy, humid, hot, temperate, artificial temperate"
637;"Cosmosis Xi";442;6.25;0.996;1.84;"field, fungus forest, ice canyon, ice cave";"subartic, frozen, windy, artificial temperate, frigid, hot, temperate"
638;"Pulsarianix Undecimal";9161;1.61;1.411;1.04;"city, rock arche";"windy, rocky, artic"
639;"Thunderforge Octal";7785;1.73;0.7;1.35;"ash";"artificial temperate, hot, humid"
640;"Thunderforge Sextant";5726;6.93;1.187;1.8;"rainforest";"artic, windy, rocky, hot, humid"
641;"Alula Borealis Nu";9764;0.98;1.105;0.96;"verdant, vine, river, island";"rocky, artic, artificial temperate, windy, frigid"
642;"Alula Borealis Kappa";9764;1.74;0.878;1.26;"tundra, island, rainforest";"artificial temperate, humid, subartic"
643;"Alula Borealis Phi";9764;2.33;0.748;1.46;"tundra, cave";"frigid, subartic"
644;"Kurai Veil Hermesios";5847;0.46;0.886;0.8;"ocean, savanna, island, fungus forest";"humid, superheated, frigid, hot, artic"
645;"Dziban XIV";6468;1.09;1.506;0.9;"jungle, ash";"windy, tropical, rocky, superheated"
646;"Luminous Ember XV";1704;7.22;0.726;2.15;"city, jungle, cityscape, rocky canyon";"subartic, humid, tropical, artificial temperate, hot"
647;"Luminous Ember VII";1704;1.61;1.039;1.16;"verdant, bog, sea";"windy, humid, artificial temperate"
648;"Luminous Ember XIX";1704;2.24;0.927;1.34;"hill, sea, rock arche, rainforest";"superheated, arid, frigid, artic"
649;"Uchū Irisian";821;2.65;1.049;1.36;"volcano";"artificial temperate, arid, subartic, windy, humid"
650;"Uchū Nereidos";821;5.09;0.714;1.92;"island, rocky canyon, jungle, barren";"rocky, frigid, temperate, artificial temperate, superheated, arid"
651;"Stellar Whisper XII";6658;5.96;0.758;1.99;"grassy hill, island, toxic cloudsea, urban, lakes, river";"windy, subartic, superheated, humid, frozen, tropical"
652;"Sheliak Typhonian";6450;1.81;1.443;1.08;"city, valley, rainforest, sinkholes";"frigid, humid, hot"
653;"Nebulous Silence Zeta";9570;4.97;1.115;1.65;"toxic cloudsea";"frozen, humid, subartic, frigid, artificial temperate, temperate"
654;"Tabit Nemesisian";133;3.46;1.295;1.39;"field, jungle";"tropical, artic, subartic, artificial temperate"
655;"Tabit Eosian";133;6.58;1.687;1.57;"ocean, plain, island";"artificial temperate, humid"
656;"Tabit Gaios";133;5.46;1.146;1.68;"cityscape, jungle";"tropical, superheated"
657;"Tabit Apollox";133;4.14;1.058;1.58;"ice cave, cave, river, cliff, fungus forest, tundra";"windy, hot, humid, frigid, artificial temperate"
658;"Enso Selenean";2584;2.35;1.191;1.25;"city, jungle, volcano";"tropical, superheated, windy, hot, rocky, subartic"
659;"Enso Titanos";2584;5.71;1.084;1.74;"ocean, field, rocky canyon";"humid, temperate, hot"
660;"Enso Chimeraean";2584;unknown;1.15;1.52;"rainforest, fungus forest, hill, field";"arid, humid, rocky, hot, artificial temperate, artic"
661;"Enso Persephonian";2584;1.78;0.606;1.43;"river, plain, ocean, plateau, island, rocky desert, cityscape";"superheated, rocky, arid, windy, temperate, artic"
662;"Olympian Flux Octal";3521;5.05;0.77;1.87;"verdant, cliff";"frigid, frozen"
663;"Olympian Flux Undecimal";3521;0.51;1.151;unknown;"rock arche, city, cityscape, hill, cliff, ocean";"temperate, hot, frozen, tropical, superheated, windy, rocky"
664;"Axeheart Prime";5760;1.08;0.906;1.06;"hill, swamp, cave, city, rocky desert, valley, field, plateau";"temperate, frigid, superheated, tropical, artic, windy"
665;"Axeheart Octal";5760;7.46;1.125;1.88;"island, ocean, jungle";"temperate, windy, frigid, arid, rocky, tropical, subartic"
666;"Cosmic Elegance Ba";3224;2.82;0.479;1.81;"hill";"frozen"
667;"Cosmic Elegance Qi";3224;2.84;1.104;1.37;"cliff, mountain";"subartic, tropical, frozen, frigid"
668;"Cosmic Elegance Shi";3224;1.71;0.921;1.23;"vine, rainforest";"windy, humid"
669;"Cosmic Elegance Wu";3224;1.2;0.892;1.1;"mountain, canyons, river, savanna, hill";"rocky, frozen, artic"
670;"Ankaa Undecimal";6951;4.51;1.144;1.58;"volcano, cave, glacier, forest, rocky canyon";"arid, artic, rocky"
671;"Ankaa Decimal";6951;unknown;1.514;1.54;"lakes, volcano";"hot, humid, tropical, artic"
672;"Ankaa Tertial";6951;2.06;1.096;1.23;"cityscape";"tropical, temperate, rocky, frigid"
673;"Lunar Quasar VI";4406;1.18;0.968;1.07;"mountain, rocky island, urban, savanna, grassland, rocky canyon";"temperate, frozen, artic, tropical"
674;"Lotus Echo Harpian";2256;1.22;0.953;1.09;"ice canyon, reef, valley, canyons, urban";"windy, tropical, hot, superheated, frigid"
675;"Riftwanderer Chi";9937;6.39;0.801;2;"plain, reef";"tropical"
676;"Riftwanderer Omicron";9937;5.73;0.876;1.87;"lakes, vine";"humid, windy, tropical, frozen, artificial temperate, arid"
677;"Riftwanderer Theta";9937;3.09;0.833;1.55;"lakes, mountain, barren, verdant, scrubland, jungle";"frigid, arid, artic, windy, tropical, subartic"
678;"Nocturnal Labyrinth Si";729;2.97;0.619;1.69;"vine, rock arche";"arid"
679;"Algenib Sextant";7174;2.58;1.001;1.37;"vine, rocky desert, cityscape, city, barren";"subartic, arid, frigid"
680;"Koi's Whisper IX";5786;4.86;1.203;1.59;"field, sea, cliff, bog, mountain, desert, tundra, ice cave, savanna";"frigid, superheated, tropical, subartic, rocky, temperate"
681;"Koi's Whisper V";5786;7.97;1.486;1.75;"vine, field";"windy, frozen, artificial temperate, artic, frigid"
682;"Koi's Whisper XX";5786;5.41;0.753;1.93;"sea, plain, river";"temperate, subartic"
683;"Comet Veil Apollox";5072;0.62;1.161;0.81;"reef";"artificial temperate, hot"
684;"Xuange Liu";8220;1.18;0.752;1.16;"jungle, ocean, canyons, rocky desert, plain, rock arche, vine";"hot, temperate, subartic, superheated, frozen, windy"
685;"Sakura Seraph Nyxios";695;6.91;1.274;unknown;"glacier, cityscape";"superheated, frigid, subartic"
686;"Quantum Mirage Sigma";7481;2.2;0.778;1.41;"acid pool, sinkholes";"arid, artificial temperate, superheated"
687;"Quantum Mirage Xi";7481;1.27;0.836;1.15;"canyons, city";"frozen, subartic, hot"
688;"Yūgen Shadows Upsilon";7142;8.09;0.892;2.09;"rainforest, rocky desert";"artic, superheated"
689;"Yūgen Shadows Xi";7142;4.14;0.951;1.63;"grassy hill";"artificial temperate, humid"
